Method name: Clare_Fluorescein_calibration_230919 (Modified),,,,,,,,,,
Application: SparkControl,,,,V2.3,,,,,,
Device: Spark,,,,Serial number: 1806012423,,,,,,
Firmware:,,,,LUM:V5.2.3|ABS:V4.3.2|ABS_MEX:V5.0.7|MTP:V13.1.5|FLUOR:V5.1.3|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.0.7|FLUOR_MEX:V5.0.7,,,,,,
,,,,,,,,,,
Date:,,,,2019-12-19,,,,,,
Time:,,,,3:00 PM,,,,,,
System,,,,DESKTOP-0KND16G,,,,,,
User,,,,DESKTOP-0KND16G\Barnes Lab,,,,,,
Plate,,,,[GRE96ft] - Greiner 96 Flat Transparent Cat. No.: 655101/655161/655192,,,,,,
Lid lifter,,,,Removable lid,,,,,,
Humidity Cassette,,,,No humidity cassette,,,,,,
Smooth mode,,,,Not selected,,,,,,
,,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,,
Plate,,,,,,,,,,
,Absorbance,,,,,Abs600,,,,
,Absorbance,,,,,Abs700,,,,
,Fluorescence Top Reading,,,,,Gain 40,,,,
,Fluorescence Top Reading,,,,,Gain 50,,,,
,Fluorescence Top Reading,,,,,Gain 60,,,,
,Fluorescence Top Reading,,,,,Gain 70,,,,
,Fluorescence Top Reading,,,,,Gain 80,,,,
,Fluorescence Top Reading,,,,,Gain 90,,,,
,Fluorescence Top Reading,,,,,Gain 100,,,,
,Fluorescence Top Reading,,,,,Gain 110,,,,
,Fluorescence Top Reading,,,,,Gain 120,,,,
,,,,,,,,,,
Name,,,,GRE96ft,,,,,,
Plate layout,,,,,,,,,,
Plate area,,,,A1-H12,,,,,,
,,,,,,,,,,
Mode,Absorbance,,,,,,,,,
Name,Abs600,,,,,,,,,
Measurement wavelength,,,,600,nm,,,,,
Number of flashes,,,,10,,,,,,
Settle time,,,,50,ms,,,,,
Part of Plate,,,,A1-H12,,,,,,
,,,,,,,,,,
Start Time,,,,2019-12-19 14:45:46,,,,,,
Temperature,,,,28.8,°C,,,,,
,,,,,,,,,,
<>,Value,Time [ms],,,,,,,,
A1,0.0431,0,,,,,,,,
A2,0.0426,204,,,,,,,,
A3,0.0428,408,,,,,,,,
A4,0.0426,612,,,,,,,,
A5,0.0428,816,,,,,,,,
A6,0.0427,1020,,,,,,,,
A7,0.0431,1224,,,,,,,,
A8,0.0427,1428,,,,,,,,
A9,0.0425,1632,,,,,,,,
A10,0.0431,1836,,,,,,,,
A11,0.0431,2040,,,,,,,,
A12,0.0427,2244,,,,,,,,
B1,0.043,4702,,,,,,,,
B2,0.0429,4498,,,,,,,,
B3,0.0427,4294,,,,,,,,
B4,0.0428,4090,,,,,,,,
B5,0.043,3886,,,,,,,,
B6,0.0428,3682,,,,,,,,
B7,0.0429,3478,,,,,,,,
B8,0.0429,3273,,,,,,,,
B9,0.0432,3069,,,,,,,,
B10,0.0428,2865,,,,,,,,
B11,0.0441,2661,,,,,,,,
B12,0.0426,2457,,,,,,,,
C1,0.0921,4916,,,,,,,,
C2,0.0452,5120,,,,,,,,
C3,0.0428,5324,,,,,,,,
C4,0.0456,5528,,,,,,,,
C5,0.0427,5732,,,,,,,,
C6,0.0426,5936,,,,,,,,
C7,0.043,6140,,,,,,,,
C8,0.0427,6344,,,,,,,,
C9,0.0428,6548,,,,,,,,
C10,0.0425,6752,,,,,,,,
C11,0.0429,6956,,,,,,,,
C12,0.0426,7160,,,,,,,,
D1,0.0428,9618,,,,,,,,
D2,0.0428,9414,,,,,,,,
D3,0.0434,9210,,,,,,,,
D4,0.0427,9006,,,,,,,,
D5,0.0428,8802,,,,,,,,
D6,0.0429,8598,,,,,,,,
D7,0.0427,8394,,,,,,,,
D8,0.0427,8190,,,,,,,,
D9,0.0427,7986,,,,,,,,
D10,0.0439,7782,,,,,,,,
D11,0.0428,7578,,,,,,,,
D12,0.0435,7374,,,,,,,,
E1,0.8009,9833,,,,,,,,
E2,0.5236,10037,,,,,,,,
E3,0.334,10241,,,,,,,,
E4,0.2263,10445,,,,,,,,
E5,0.1518,10650,,,,,,,,
E6,0.1087,10854,,,,,,,,
E7,0.0829,11058,,,,,,,,
E8,0.0668,11262,,,,,,,,
E9,0.0565,11466,,,,,,,,
E10,0.0509,11670,,,,,,,,
E11,0.0474,11874,,,,,,,,
E12,0.0423,12078,,,,,,,,
F1,0.7997,14538,,,,,,,,
F2,0.5241,14334,,,,,,,,
F3,0.339,14130,,,,,,,,
F4,0.2251,13926,,,,,,,,
F5,0.1529,13722,,,,,,,,
F6,0.1084,13518,,,,,,,,
F7,0.0823,13313,,,,,,,,
F8,0.066,13109,,,,,,,,
F9,0.0566,12905,,,,,,,,
F10,0.0506,12701,,,,,,,,
F11,0.0473,12497,,,,,,,,
F12,0.042,12293,,,,,,,,
G1,0.8153,14752,,,,,,,,
G2,0.5436,14956,,,,,,,,
G3,0.3398,15160,,,,,,,,
G4,0.2259,15364,,,,,,,,
G5,0.1534,15568,,,,,,,,
G6,0.1092,15772,,,,,,,,
G7,0.083,15976,,,,,,,,
G8,0.0664,16180,,,,,,,,
G9,0.0565,16384,,,,,,,,
G10,0.0507,16588,,,,,,,,
G11,0.0474,16792,,,,,,,,
G12,0.0428,16996,,,,,,,,
H1,0.8294,19456,,,,,,,,
